,Unnamed: 0,cnd,sub,cue,block,level_4,p,nll,bic,model,best_model
85,85,cj2cr,1,0,4,1,49.993413529557955,42.04149821827205,93.51999417913427,nll_uniy_1,nll_uniy_1
86,86,cj2cr,1,0,4,0,0.9999999896759529,42.892577483700116,99.94065158128552,nll_glc_0,nll_uniy_1
87,87,cj2cr,1,0,4,1,-64.27732844428684,42.892577483700116,99.94065158128552,nll_glc_0,nll_uniy_1
88,88,cj2cr,1,0,4,2,49.98627597927042,42.892577483700116,99.94065158128552,nll_glc_0,nll_uniy_1
89,89,cj2cr,1,0,4,0,-0.4719872110450449,41.71426594600456,97.58402850589441,nll_glc_1,nll_uniy_1
90,90,cj2cr,1,0,4,1,-4.311234230591536,41.71426594600456,97.58402850589441,nll_glc_1,nll_uniy_1
91,91,cj2cr,1,0,4,2,49.99644095115076,41.71426594600456,97.58402850589441,nll_glc_1,nll_uniy_1
92,92,cj2cr,1,0,4,0,87.31781988265665,43.219222135505426,100.59394088489614,nll_gcc_eq_0,nll_uniy_1
93,93,cj2cr,1,0,4,1,99.9637285961448,43.219222135505426,100.59394088489614,nll_gcc_eq_0,nll_uniy_1
94,94,cj2cr,1,0,4,2,49.99206550933914,43.219222135505426,100.59394088489614,nll_gcc_eq_0,nll_uniy_1
95,95,cj2cr,1,0,4,0,87.74734681879289,43.21996547504181,100.59542756396893,nll_gcc_eq_1,nll_uniy_1
96,96,cj2cr,1,0,4,1,99.88958349607164,43.21996547504181,100.59542756396893,nll_gcc_eq_1,nll_uniy_1
97,97,cj2cr,1,0,4,2,49.993561994851284,43.21996547504181,100.59542756396893,nll_gcc_eq_1,nll_uniy_1
98,98,cj2cr,1,0,4,0,9.559591667361346,43.362693076489705,100.88088276686469,nll_gcc_eq_2,nll_uniy_1
99,99,cj2cr,1,0,4,1,99.37047430807294,43.362693076489705,100.88088276686469,nll_gcc_eq_2,nll_uniy_1
100,100,cj2cr,1,0,4,2,49.99956504253237,43.362693076489705,100.88088276686469,nll_gcc_eq_2,nll_uniy_1
101,101,cj2cr,1,0,4,0,88.00980824775247,43.21905336526619,100.59360334441764,nll_gcc_eq_3,nll_uniy_1
102,102,cj2cr,1,0,4,1,99.91561682429001,43.21905336526619,100.59360334441764,nll_gcc_eq_3,nll_uniy_1
103,103,cj2cr,1,0,4,2,49.99811318849028,43.21905336526619,100.59360334441764,nll_gcc_eq_3,nll_uniy_1
104,104,cj2cr,1,0,5,0,39.852380223223065,39.22451740772128,87.88603255803274,nll_unix_0,nll_uniy_1
105,105,cj2cr,1,0,5,1,49.98399236755978,39.22451740772128,87.88603255803274,nll_unix_0,nll_uniy_1
106,106,cj2cr,1,0,5,0,60.38232952460186,49.78387295906947,109.00474366072912,nll_unix_1,nll_uniy_1
107,107,cj2cr,1,0,5,1,49.999141254800385,49.78387295906947,109.00474366072912,nll_unix_1,nll_uniy_1
108,108,cj2cr,1,0,5,0,40.402810057611035,51.995998267940045,113.42899427847031,nll_uniy_0,nll_uniy_1
109,109,cj2cr,1,0,5,1,49.99804973419808,51.995998267940045,113.42899427847031,nll_uniy_0,nll_uniy_1
110,110,cj2cr,1,0,5,0,59.72585343585936,37.15262733066254,83.74225240391526,nll_uniy_1,nll_uniy_1
111,111,cj2cr,1,0,5,1,49.97279606142831,37.15262733066254,83.74225240391526,nll_uniy_1,nll_uniy_1
112,112,cj2cr,1,0,5,0,0.9999992001732052,39.239933985756885,92.63536458539906,nll_glc_0,nll_uniy_1
113,113,cj2cr,1,0,5,1,-39.548961921795375,39.239933985756885,92.63536458539906,nll_glc_0,nll_uniy_1
114,114,cj2cr,1,0,5,2,49.93727498496874,39.239933985756885,92.63536458539906,nll_glc_0,nll_uniy_1
115,115,cj2cr,1,0,5,0,-0.5916760841381212,35.45270140433037,85.06089942254602,nll_glc_1,nll_uniy_1
116,116,cj2cr,1,0,5,1,-20.87575008331988,35.45270140433037,85.06089942254602,nll_glc_1,nll_uniy_1
117,117,cj2cr,1,0,5,2,49.97406359840529,35.45270140433037,85.06089942254602,nll_glc_1,nll_uniy_1
118,118,cj2cr,1,0,5,0,51.25794981969487,41.894082340848975,97.94366129558323,nll_gcc_eq_0,nll_uniy_1
119,119,cj2cr,1,0,5,1,99.9100958869297,41.894082340848975,97.94366129558323,nll_gcc_eq_0,nll_uniy_1
120,120,cj2cr,1,0,5,2,49.9993550789723,41.894082340848975,97.94366129558323,nll_gcc_eq_0,nll_uniy_1
121,121,cj2cr,1,0,5,0,51.94176273609925,41.90245144716387,97.96039950821303,nll_gcc_eq_1,nll_uniy_1
122,122,cj2cr,1,0,5,1,99.949115926918,41.90245144716387,97.96039950821303,nll_gcc_eq_1,nll_uniy_1
123,123,cj2cr,1,0,5,2,49.92251344642037,41.90245144716387,97.96039950821303,nll_gcc_eq_1,nll_uniy_1
124,124,cj2cr,1,0,5,0,41.84556911458797,49.83997043536897,113.8354374846232,nll_gcc_eq_2,nll_uniy_1
125,125,cj2cr,1,0,5,1,99.96944092872299,49.83997043536897,113.8354374846232,nll_gcc_eq_2,nll_uniy_1
126,126,cj2cr,1,0,5,2,49.99963215628236,49.83997043536897,113.8354374846232,nll_gcc_eq_2,nll_uniy_1
127,127,cj2cr,1,0,5,0,51.80404219089751,41.8900753528452,97.9356473195757,nll_gcc_eq_3,nll_uniy_1
